Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
 306,306,   1,  110.00,    0.00,    3.89,    2.33,    4.43,    4.73,   12.08,   12.01
 307,307,   1,  110.00,    0.00,    3.89,    2.14,    4.24,    4.53,   11.94,   11.87
 308,308,   1,  110.00,    0.00,    3.89,    1.95,    4.04,    4.34,   11.81,   11.74
 309,309,   1,  110.00,    0.00,    3.89,    1.75,    3.85,    4.14,   11.67,   11.60
 310,310,   1,  110.00,    0.00,    3.89,    1.56,    3.66,    3.95,   11.54,   11.47
 311,311,   1,  110.00,    0.00,    3.89,    1.37,    3.47,    3.76,   11.40,   11.33
 312,312,   1,  110.00,    0.00,    3.89,    1.19,    3.28,    3.56,   11.26,   11.19
 313,313,   1,  110.00,    0.00,    3.89,    1.00,    3.10,    3.38,   11.12,   11.05
 314,314,   1,  110.00,    0.00,    3.89,    0.82,    2.91,    3.19,   10.98,   10.91
 315,315,   1,  110.00,    0.00,    3.89,    0.64,    2.73,    3.01,   10.84,   10.77
 316,316,   1,  110.00,    0.00,    3.89,    0.46,    2.55,    2.82,   10.70,   10.63
 317,317,   1,  110.00,    0.00,    3.89,    0.28,    2.37,    2.64,   10.56,   10.49
 318,318,   1,  110.00,    0.00,    3.89,    0.11,    2.20,    2.46,   10.42,   10.34
 319,319,   1,  110.00,    0.00,    3.89,   -0.06,    2.02,    2.29,   10.28,   10.20
 320,320,   1,  110.00,    0.00,    3.89,   -0.23,    1.85,    2.11,   10.13,   10.06
 321,321,   1,  110.00,    0.00,    3.89,   -0.40,    1.68,    1.94,    9.99,    9.91
 322,322,   1,  110.00,    0.00,    3.89,   -0.57,    1.52,    1.77,    9.85,    9.77
 323,323,   1,  110.00,    0.00,    3.89,   -0.73,    1.35,    1.60,    9.70,    9.62
 324,324,   1,  110.00,    0.00,    3.89,   -0.89,    1.19,    1.44,    9.56,    9.48
 325,325,   1,  110.00,    0.00,    3.89,   -1.05,    1.03,    1.27,    9.41,    9.33
 326,326,   1,  110.00,    0.00,    3.89,   -1.20,    0.87,    1.11,    9.26,    9.19
 327,327,   1,  110.00,    0.00,    3.89,   -1.36,    0.72,    0.95,    9.12,    9.04
 328,328,   1,  110.00,    0.00,    3.89,   -1.51,    0.57,    0.80,    8.97,    8.90
 329,329,   1,  110.00,    0.00,    3.89,   -1.66,    0.42,    0.64,    8.83,    8.75
 330,330,   1,  110.00,    0.00,    3.89,   -1.80,    0.27,    0.49,    8.68,    8.60
 331,331,   1,  110.00,    0.00,    3.89,   -1.94,    0.13,    0.35,    8.53,    8.46
 332,332,   1,  110.00,    0.00,    3.89,   -2.08,   -0.01,    0.20,    8.39,    8.31
 333,333,   1,  110.00,    0.00,    3.89,   -2.22,   -0.15,    0.06,    8.24,    8.17
 334,334,   1,  110.00,    0.00,    3.89,   -2.35,   -0.29,   -0.08,    8.10,    8.02
 335,335,   1,  110.00,    0.00,    3.89,   -2.48,   -0.42,   -0.22,    7.95,    7.87
 336,336,   1,  110.00,    0.00,    3.89,   -2.61,   -0.55,   -0.35,    7.80,    7.73
 337,337,   1,  110.00,    0.00,    3.89,   -2.74,   -0.68,   -0.48,    7.66,    7.58
 338,338,   1,  110.00,    0.00,    3.89,   -2.86,   -0.80,   -0.61,    7.51,    7.44
