site,date,temp,50 cm from bottom,1 m from surface
F,2020-09-28,15.618,15.3984027777778,15.8379861111111
F,2020-09-29,15.631,15.3763194444444,15.8860416666667
F,2020-09-30,15.631,15.3631944444444,15.8988194444444
F,2020-10-01,15.650,15.4101388888889,15.8904166666667
F,2020-10-02,15.562,15.3604166666667,15.7629166666667
F,2020-10-03,15.262,15.3002083333333,15.22375
F,2020-10-04,15.149,15.2219444444444,15.0768055555556
F,2020-10-05,15.105,15.159375,15.0511805555556
F,2020-10-06,14.983,15.110625,14.8544444444444
F,2020-10-07,14.902,15.0682638888889,14.7354861111111
F,2020-10-08,14.879,15.0538888888889,14.705
F,2020-10-09,14.867,15.0423611111111,14.6908333333333
F,2020-10-10,14.873,14.9888888888889,14.7579861111111
F,2020-10-11,14.922,14.9914583333333,14.8527083333333
F,2020-10-12,14.964,14.9706944444444,14.9572916666667
F,2020-10-13,15.046,14.9451388888889,15.1473611111111
F,2020-10-14,14.982,14.9246527777778,15.0402777777778
F,2020-10-15,14.975,14.9613194444444,14.9877083333333
F,2020-10-16,14.867,14.9596527777778,14.7738888888889
F,2020-10-17,14.429,14.8136111111111,14.044375
F,2020-10-18,14.113,14.7375,13.4877777777778
F,2020-10-19,14.065,14.6972916666667,13.4329166666667
F,2020-10-20,13.926,14.5903472222222,13.2615972222222
F,2020-10-21,13.819,14.4972916666667,13.1409722222222
F,2020-10-22,13.680,14.4283333333333,12.9326388888889
F,2020-10-23,13.600,14.3679166666667,12.8311805555556
F,2020-10-24,13.508,14.3309027777778,12.6841666666667
F,2020-10-25,13.512,14.2795138888889,12.7436111111111
F,2020-10-26,13.464,14.2108333333333,12.7161805555556
F,2020-10-27,13.244,14.0827083333333,12.4051388888889
F,2020-10-28,12.865,14.0136111111111,11.7170138888889
F,2020-10-29,12.684,13.9340972222222,11.4345833333333
F,2020-10-30,12.621,13.9023611111111,11.3400694444444
F,2020-10-31,12.570,13.8493055555556,11.2913194444444
F,2020-11-01,12.515,13.790625,11.239375
F,2020-11-02,12.595,13.7295138888889,11.4611805555556
F,2020-11-03,12.640,13.6848611111111,11.5946527777778
F,2020-11-04,12.661,13.6375,11.6841666666667
F,2020-11-05,12.615,13.5909722222222,11.6386805555556
F,2020-11-06,12.533,13.5297916666667,11.5352083333333
F,2020-11-07,12.462,13.2865151515151,11.6381818181818
